Time (sec),Data
1,0.256819278
2,0.473403275
3,0.538682282
4,0.544604182
5,0.292150974
6,0.284025282
7,0.283921719
8,0.329809308
9,0.272049665
10,0.249713451
11,0.246486798
12,0.234852001
13,0.236363485
14,0.189320162
15,0.17205596
16,0.202842757
17,0.173555076
18,0.24274525
19,0.198031366
20,0.203797489
21,0.192632586
22,0.206097886
23,0.207387194
24,0.193001702
25,0.183252886
26,0.19507584
27,0.162710771
28,0.162721708
29,0.155841053
30,0.176291257
31,0.186229229
32,0.173811749
33,0.183351919
34,0.237430573
35,0.193046272
36,0.186903685
37,0.238729209
38,0.23378107
39,0.203104004
40,0.19480747
41,0.189545721
42,0.209590971
43,0.175506085
44,0.180206552
45,0.167336479
46,0.187556341
47,0.179514244
48,0.18514815
49,0.180429459
50,0.165194184
51,0.222314149
52,0.189254791
53,0.24066405
54,0.200926065
55,0.182675719
56,0.197805047
57,0.19205372
58,0.184360474
59,0.182145759
60,0.187847048
61,0.163194805
62,0.269299924
63,0.205052197
64,0.198191255
65,0.207874835
66,0.182136253
67,0.176837161
68,0.159003854
69,0.218388796
70,0.172953427
71,0.168083206
72,0.166614339
73,0.205937743
74,0.181055546
75,0.21370995
76,0.178584784
77,0.203876778
78,0.197668359
79,0.211362749
80,0.200853258
81,0.160120338
82,0.204487503
83,0.203335643
84,0.179884195
85,0.194848448
86,0.207407624
87,0.170662686
88,0.152070656
89,0.210656777
90,0.227223754
91,0.215647787
92,0.177624166
93,0.218045548
94,0.178283706
95,0.199225023
96,0.182406649
97,0.196408063
98,0.20553714
99,0.206474766
100,0.193573624
101,0.185953513
102,0.186068743
103,0.220354691
104,0.165793583
105,0.162665486
106,0.184709102
107,0.168164492
108,0.194780022
109,0.183022067
110,0.192842066
111,0.23273626
112,0.176287845
113,0.157682106
114,0.187415868
115,0.157577664
116,0.192469761
117,0.146887824
118,0.159456387
119,0.181424886
120,0.160382509
121,0.1723046
122,0.16364637
123,0.171163127
124,0.169767424
125,0.184577152
126,0.151559323
127,0.161058754
128,0.151720017
129,0.140240014
130,0.154653355
131,0.163801491
132,0.186524838
133,0.145444766
134,0.161458567
135,0.129087895
136,0.139335006
137,0.130624488
138,0.137502313
139,0.146930709
140,0.130557209
141,0.129791573
142,0.159290239
143,0.120482087
144,0.155309156
145,0.151738793
146,0.149499387
147,0.166302592
148,0.141681284
149,0.147969112
150,0.162451148
151,0.146764264
152,0.155993804
153,0.134942129
154,0.16881676
155,0.148513868
156,0.178056777
157,0.142790064
158,0.161620304
159,0.132853419
160,0.130258411
161,0.145884842
162,0.14074266
163,0.138581336
164,0.140404955
165,0.17028895
166,0.160592169
167,0.17357716
168,0.153443396
169,0.145296708
170,0.135644868
171,0.118739411
172,0.124407925
173,0.135671481
174,0.109473161
175,0.136008471
176,0.102189951
177,0.10415782
178,0.133043289
179,0.11963439
180,0.112232178
181,0.115156546
182,0.097651564
183,0.121957839
184,0.114082865
185,0.122152247
186,0.104617812
187,0.120830894
188,0.116962671
189,0.11019209
190,0.115060046
191,0.109924704
192,0.097476408
193,0.104848407
194,0.101190485
195,0.090407506
196,0.104437247
197,0.101823181
198,0.101837173
199,0.103834793
200,0.101767585
201,0.107048489
202,0.092754543
203,0.094670266
204,0.101977557
205,0.08474908
206,0.091947794
207,0.064035274
208,0.089040786
209,0.084426314
210,0.134357721
211,0.096055962
212,0.135281414
213,0.110477112
214,0.082299143
215,0.113065094
216,0.072920442
217,0.079981945
218,0.11844074
219,0.126179978
220,0.108785935
221,0.115173392
222,0.113845326
223,0.085804
224,0.089810416
225,0.078122176
226,0.0843032
227,0.086563535
228,0.066119254
229,0.089812897
230,0.082455054
231,0.084666967
232,0.079008937
233,0.081440568
234,0.092602268
235,0.090579651
236,0.085280955
237,0.092744559
238,0.090227298
239,0.082593128
240,0.09857057
241,0.077021964
242,0.097491108
243,0.077842139
244,0.077238612
245,0.101546302
246,0.071168117
247,0.088718526
248,0.072409198
249,0.067042634
250,0.064957336
251,0.06464956
252,0.049531918
253,0.061872561
254,0.06896273
255,0.074701384
256,0.054888695
257,0.072953612
258,0.052182507
259,0.067969821
260,0.050409749
261,0.050708838
262,0.0715001
263,0.068436623
264,0.063463204
265,0.063962877
266,0.067733824
267,0.071402721
268,0.066725112
269,0.058293432
270,0.085485786
271,0.051469792
272,0.051284514
273,0.055571746
274,0.043670844
275,0.049444497
276,0.062311213
277,0.051667742
278,0.050646499
279,0.052748334
280,0.055883914
281,0.061692711
282,0.043593105
283,0.074732587
284,0.04614412
285,0.07993079
286,0.055735223
287,0.064337268
288,0.074514069
289,0.063706346
290,0.045402721
291,0.059318796
292,0.059757099
293,0.071389869
294,0.062156782
295,0.042757001
296,0.047015868
297,0.052333623
298,0.046578795
299,0.059289314
300,0.052203242
301,0.082063772
302,0.054259971
303,0.083023757
304,0.059829719
305,0.073077105
306,0.045406066
307,0.055415057
308,0.055278718
309,0.065442272
310,0.069157958
311,0.066972762
312,0.041644491
313,0.075342998
314,0.066567928
315,0.05120521
316,0.050035957
317,0.04966677
318,0.049562626
319,0.044954456
320,0.049695767
321,0.045777433
322,0.036952641
323,0.044887789
324,0.054582991
325,0.034144625
326,0.040897895
327,0.054153644
328,0.069869675
329,0.043845125
330,0.048387241
331,0.069930494
332,0.042824775
333,0.056004234
334,0.050285913
335,0.067065343
336,0.045697168
337,0.063692942
338,0.0455047
339,0.048166387
340,0.074026257
341,0.071644485
342,0.066922717
343,0.071450092
344,0.049886789
345,0.051477164
346,0.057413794
347,0.045575723
348,0.031209428
349,0.059012819
350,0.058981363
351,0.031500794
352,0.046749808
353,0.041592374
354,0.05688367
355,0.076188684
356,0.04493086
357,0.07675539
358,0.073643893
359,0.063529961
360,0.045942098
361,0.055560682
362,0.062033162
363,0.05996494
364,0.06025793
365,0.050906733
366,0.05258882
367,0.064363107
368,0.042450979
369,0.042241935
370,0.037504029
371,0.039647929
372,0.049731538
373,0.037084062
374,0.041842304
375,0.045113046
376,0.053258356
377,0.032290261
378,0.039323032
379,0.048121847
380,0.043048412
381,0.037430912
382,0.050152354
383,0.055079892
384,0.036130439
385,0.031710826
386,0.039609216
387,0.038325414
388,0.041793138
389,0.033690508
390,0.045702949
391,0.056675375
392,0.053909432
393,0.046552505
394,0.047740385
395,0.05497086
396,0.036396261
397,0.046402201
398,0.052743394
399,0.043875068
400,0.055294752
401,0.045154583
402,0.033654802
403,0.034654777
404,0.065298811
405,0.041102681
406,0.068381295
407,0.05379574
408,0.048501909
409,0.039134227
410,0.052885566
411,0.036728811
412,0.047485001
413,0.03880842
414,0.035665024
415,0.029043306
416,0.038017623
417,0.035150819
418,0.028542329
419,0.047380798
420,0.023985829
421,0.043686759
422,0.043997779
423,0.055993434
424,0.059758414
425,0.047561564
426,0.040245365
427,0.034785461
428,0.045136422
429,0.052083939
430,0.035798687
431,0.056792781
432,0.024951342
433,0.03872963
434,0.03559465
435,0.032005399
436,0.025430739
437,0.058069699
438,0.034809962
439,0.063278511
440,0.046625286
441,0.045113005
442,0.043965083
443,0.057774253
444,0.026891481
445,0.075090945
446,0.03850184
447,0.037980027
448,0.032399423
449,0.034632396
450,0.040745951
451,0.024772508
452,0.038148813
453,0.037354957
454,0.024008289
455,0.062399216
456,0.029676909
457,0.034376517
458,0.028453346
459,0.024026634
460,0.040153403
461,0.020222656
462,0.041049369
463,0.053185903
464,0.051835097
465,0.029471813
466,0.049103662
467,0.039643429
468,0.044573657
469,0.027423739
470,0.038606003
471,0.041224726
472,0.06424956
473,0.045118295
474,0.029892985
475,0.022907348
476,0.05180629
477,0.065161467
478,0.044420213
479,0.062304191
480,0.060447343
481,0.062216386
482,0.043098815
483,0.065718874
484,0.041238688
485,0.055482231
486,0.032874461
487,0.054083381
488,0.049774382
489,0.047354519
490,0.06465736
491,0.047050379
492,0.089996077
493,0.070003554
494,0.041319653
495,0.059952956
496,0.045670126
497,0.063079171
498,0.041432597
499,0.086303607
500,0.040885851
501,0.076592974
502,0.034035653
503,0.068863481
504,0.03656771
505,0.054934718
506,0.049920302
507,0.044552594
508,0.055424985
509,0.033526521
510,0.045598947
511,0.030446334
512,0.059250597
513,0.045686379
514,0.05833951
515,0.038581371
516,0.044459172
517,0.081232257
518,0.054766074
519,0.054356318
520,0.053894702
521,0.049527287
522,0.040698666
523,0.045550067
524,0.040062256
525,0.047140092
526,0.040854078
527,0.048311908
528,0.028869709
529,0.043489933
530,0.03383179
531,0.036274262
532,0.050241761
533,0.037180662
534,0.063539475
535,0.052032437
536,0.053315304
537,0.037052885
538,0.031025887
539,0.040845439
540,0.037858304
541,0.037098628
542,0.034330338
543,0.057336126
544,0.029421121
545,0.024174608
546,0.034721896
547,0.044031754
548,0.024462236
549,0.030654989
550,0.034837
551,0.044654451
552,0.035926878
553,0.053115822
554,0.047678977
555,0.056221481
556,0.049488753
557,0.058133408
558,0.036572918
559,0.044048939
560,0.037876293
561,0.057459202
562,0.03584886
563,0.04385772
564,0.046421319
565,0.034591209
566,0.063725859
567,0.062230308
568,0.050337836
569,0.037965193
570,0.03891721
571,0.032871742
572,0.047481805
573,0.050944287
574,0.027979536
575,0.03638247
576,0.067194209
577,0.054069661
578,0.047900327
579,0.038009796
580,0.049009375
581,0.039328091
582,0.043597594
583,0.0417176
584,0.029717932
585,0.045530297
586,0.031708889
587,0.026425514
588,0.024948329
589,0.031759258
590,0.040915485
591,0.042511843
592,0.042310849
593,0.030590624
594,0.052456085
595,0.041168533
596,0.042851679
597,0.040708534
598,0.035523105
599,0.048069336
600,0.028595604
601,0.037387118
602,0.062022477
603,0.026651328
604,0.034374777
605,0.031284388
606,0.030415308
607,0.039485667
608,0.065076128
609,0.050546572
610,0.042218797
611,0.034630395
612,0.015769051
613,0.041599818
614,0.047058281
615,0.040849395
616,0.039402541
617,0.038567476
618,0.028525788
619,0.034585498
620,0.025713703
621,0.026681924
622,0.036526609
623,0.02807793
624,0.028048599
625,0.026134601
626,0.038930867
627,0.04382401
628,0.0311084
629,0.030358179
630,0.049563278
631,0.040892087
632,0.040336996
633,0.030578308
634,0.044392884
635,0.036630288
636,0.035214879
637,0.037338354
638,0.048973139
639,0.033485778
640,0.054462694
641,0.047077876
642,0.066295072
643,0.031415198
644,0.04585978
645,0.047520213
646,0.041301057
647,0.048933432
648,0.059634715
649,0.058294158
650,0.055432018
651,0.025590032
652,0.043511346
653,0.040663771
654,0.033983618
655,0.039097548
656,0.030177066
657,0.04808503
658,0.059295844
659,0.04072763
660,0.036616277
661,0.047171898
662,0.042173762
663,0.035903528
664,0.059838146
665,0.057884276
666,0.037461307
667,0.029482555
668,0.034979388
669,0.046798483
670,0.041396119
671,0.061959852
672,0.056239828
673,0.034767862
674,0.04577437
675,0.048009798
676,0.040697239
677,0.064396322
678,0.03230007
679,0.057928219
680,0.031294353
681,0.039591625
682,0.023388915
683,0.049334526
684,0.042362742
685,0.040358976
686,0.044663843
687,0.035513908
688,0.045944925
689,0.039268307
690,0.052539241
691,0.031851377
692,0.051405348
693,0.059834585
694,0.061887909
695,0.054281369
696,0.040497642
697,0.050609108
698,0.036362518
699,0.03748592
700,0.030426122
701,0.032821946
702,0.067359455
703,0.050721806
704,0.043813445
705,0.032671824
706,0.050559353
707,0.039974526
708,0.049555801
709,0.036986947
710,0.045629986
711,0.042387839
712,0.044579189
713,0.056806073
714,0.047390532
715,0.045020487
716,0.058626719
717,0.042855401
718,0.099950053
719,0.068425238
720,0.033030737
721,0.066417344
722,0.049402103
723,0.058161542
724,0.025965732
725,0.038973756
726,0.049866542
727,0.048638515
728,0.037051298
729,0.051122427
730,0.043506034
731,0.044373281
732,0.019770415
733,0.030243861
734,0.029256102
735,0.046645708
736,0.026059937
737,0.030020982
738,0.031142857
739,0.025737243
740,0.030574322
741,0.02882701
742,0.039838791
743,0.038560074
744,0.040675003
745,0.039471269
746,0.040589005
747,0.030042917
748,0.034786627
749,0.079619229
750,0.041190289
751,0.031299394
752,0.038522981
753,0.037370529
754,0.03339858
755,0.049330119
756,0.037835546
757,0.056654509
758,0.037644494
759,0.035662331
760,0.03520089
761,0.035301916
762,0.037321609
763,0.03359523
764,0.045340247
765,0.019592416
766,0.022002436
767,0.02842984
768,0.043783769
769,0.051006697
770,0.039883986
771,0.059823342
772,0.047528587
773,0.033708785
774,0.044454124
775,0.042740382
776,0.031688705
777,0.024706744
778,0.02331
779,0.038124993
780,0.055547036
781,0.047837697
782,0.027446393
783,0.04029347
784,0.035631157
785,0.047458909
786,0.031166989
787,0.039877638
788,0.043117799
789,0.034220118
