Time (sec),Data
1,0.849647246
2,0.938382859
3,0.94500206
4,0.923005108
5,0.919359644
6,0.935839151
7,0.877476741
8,0.927004891
9,0.921825691
10,0.978350671
11,0.919447763
12,0.969184341
13,0.950402749
14,0.942311106
15,0.975970131
16,0.937244181
17,0.946778988
18,0.920359034
19,0.930851211
20,0.977459422
21,0.9608148
22,0.951545313
23,0.959899021
24,0.977844955
25,0.868710041
26,0.836692046
27,0.966893707
28,0.970562562
29,0.935389428
30,0.938030876
31,0.967852671
32,0.975079431
33,0.988719411
34,0.952277113
35,0.994205646
36,0.985397845
37,0.985689092
38,0.96387537
39,0.971413517
40,0.959950739
41,0.909722615
42,0.985672549
43,0.986321774
44,0.98360634
45,0.977265843
46,0.977178991
47,0.98556829
48,0.971535874
49,0.953905183
50,0.907581513
51,0.950349199
52,0.951139098
53,0.985610307
54,0.96601449
55,0.969031132
56,0.975599502
57,0.905797241
58,0.966863684
59,0.953154577
60,0.97517793
61,0.945180577
62,0.930173329
63,0.988158565
64,0.945708503
65,0.970599297
66,0.945749429
67,0.950711874
68,0.965268446
69,0.984737034
70,0.994776049
71,0.972673988
72,0.996221796
73,0.977747811
74,0.992066388
75,0.99113289
76,0.897409673
77,0.956110741
78,0.867836936
79,0.995540776
80,0.961350842
81,0.966489849
82,0.971662467
83,0.951106502
84,0.975283414
85,0.96294581
86,0.966158569
87,0.923136552
88,0.98734147
89,0.974574689
90,0.948675979
91,0.960265298
92,0.9812164
93,0.984961203
94,0.975657159
95,0.9833678
96,0.907785923
97,0.974201605
98,0.950388141
99,0.915530519
100,0.950439339
101,0.990679386
102,0.926836374
103,0.983009015
104,0.925194862
105,0.965479332
106,0.936500901
107,0.961695132
108,0.981890941
109,0.98263038
110,0.990414468
111,0.9648123
112,0.946712902
113,0.969551628
114,0.98541552
115,0.952640146
116,0.984925379
117,0.972966571
118,0.999999999
119,0.905743389
120,0.959015799
121,0.998302395
122,0.982666265
123,0.977543688
124,0.981690353
125,0.93224388
126,0.98576249
127,0.962802954
128,0.975236648
129,0.986922259
130,0.940787464
131,0.964406846
132,0.990018089
133,0.99533835
134,0.990728757
135,0.995075044
136,0.999999988
137,0.97532071
138,0.958781615
139,0.963051755
140,0.984410857
141,0.988622632
142,0.944748418
143,0.972035758
144,0.982136171
145,0.96125649
146,0.981620365
147,0.994138843
148,0.986573101
149,0.979953535
150,0.954184307
151,0.973882555
152,0.974000151
153,0.988648679
154,0.944807542
155,0.985885312
156,0.981046193
157,0.993230186
158,0.978586874
159,0.943456475
160,0.991039006
161,0.988789071
162,0.987496848
163,0.977727435
164,0.972103191
165,0.982829976
166,0.967291002
167,0.927220527
168,0.973135205
169,0.933648609
170,0.98571906
171,0.937999356
172,0.981956462
173,0.986803111
174,0.948590892
175,0.985940808
176,0.942782167
177,0.981124792
178,0.953550196
179,0.904836023
180,0.981323148
181,0.981168965
182,0.967415649
183,0.979162012
184,0.980671358
185,0.964030167
186,0.982457713
187,0.987466159
188,0.973667754
189,0.985181556
190,0.977749553
191,0.94786938
192,0.990214216
193,0.963506499
194,0.94147329
195,0.987203399
196,0.978587685
197,0.978737919
198,0.943694014
199,0.950611531
200,0.986711709
201,0.979689219
202,0.983901614
203,0.970247854
204,0.985868218
205,0.963328243
206,0.985870305
207,0.988766036
208,0.987877153
209,0.980269731
210,0.976474611
211,0.953047906
212,0.988428537
213,0.992372702
214,0.972685705
215,0.971047914
216,0.998149031
217,0.983643934
218,0.976464046
219,0.975568575
220,0.974749304
221,0.993634318
222,0.965142907
223,0.920929047
224,0.990077318
225,0.987805762
226,0.989356136
227,0.990240541
228,0.991288701
229,0.999999945
230,0.985659431
231,0.969280534
232,0.996011645
233,0.974787809
234,0.985705481
235,0.97765085
236,0.941690549
237,0.973206757
238,0.981875702
239,0.984990486
240,0.98182704
241,0.959956942
242,0.995219632
243,0.976424577
244,0.95616472
245,0.939567859
246,0.993083257
247,0.991891966
248,0.9671529
249,0.993807386
250,0.981160257
251,0.97354078
252,0.989671627
253,0.988276716
254,0.986136843
255,0.96671145
256,0.982620861
257,0.978496452
258,0.985555728
259,0.942971558
260,0.978775691
261,0.968929528
262,0.99366816
263,0.985447422
264,0.98880915
265,0.985459221
266,0.905477378
267,0.987110941
268,0.994575461
269,0.989902679
270,0.987620621
271,0.997650688
272,0.995509638
273,0.99458205
274,0.9865321
275,0.994451656
276,0.990307983
277,0.990608178
278,0.951848934
279,0.976690748
280,0.968006593
281,0.981011485
282,0.990456464
283,0.937998121
284,0.99104535
285,0.976041057
286,0.98967957
287,0.980833855
288,0.99077146
289,0.97313973
290,0.977908126
291,1
292,0.984322199
293,0.95951386
294,0.992991056
295,0.979127147
296,0.970186151
297,0.988692237
298,0.993713268
299,0.985686725
300,0.943379772
301,0.927431718
302,0.969189691
303,0.923562415
304,0.982690752
305,0.982058633
306,0.938441586
307,0.982837873
308,0.991867603
309,0.953749791
310,0.988920919
311,0.985675259
312,0.987607459
313,0.927283283
314,0.967452846
315,0.992312803
316,0.98908054
317,0.940443311
318,0.963943713
319,0.987609908
320,0.990163878
321,0.990579798
322,0.966403748
323,0.980061044
324,0.990064732
325,0.931474023
326,0.985664411
327,0.976842327
328,0.997134326
329,0.987366319
330,0.994529287
331,0.992588704
332,0.999999993
333,0.987523857
334,0.970435506
335,0.973998313
336,0.993613208
337,0.994652004
338,0.971670443
339,0.882748126
340,0.983258945
341,0.952216606
342,0.9785284
343,0.953936017
344,0.974571455
345,0.91700222
346,0.975064874
347,0.883911999
348,0.982394906
349,0.992318884
